from_bus,to_bus,id,name,r_pu,x_pu,b_pu,g_from_pu,b_from_pu,g_to_pu,b_to_pu,rate_a_mva,rate_b_mva,rate_c_mva,length_km,in_service
20043,20067,1,345osm_미금_345-신의정부_345_1,0.000535,0.005736,0.120893,0.0,0.0,0.0,0.0,2000,2200,2500,20.56,1
20043,20067,2,345osm_미금_345-신의정부_345_2,0.000535,0.005736,0.120893,0.0,0.0,0.0,0.0,2000,2200,2500,20.56,1
20005,20062,1,345osm_신울산_345-양산T3_345_1,0.000544,0.005839,0.123068,0.0,0.0,0.0,0.0,2000,2200,2500,20.93,1
20005,20062,2,345osm_신울산_345-양산T3_345_2,0.000544,0.005839,0.123068,0.0,0.0,0.0,0.0,2000,2200,2500,20.93,1
20075,20095,1,345osm_신당진_345-당진T2_345_1,0.000543,0.005828,0.122833,0.0,0.0,0.0,0.0,2000,2200,2500,20.89,1
20075,20095,2,345osm_신당진_345-당진T2_345_2,0.000543,0.005828,0.122833,0.0,0.0,0.0,0.0,2000,2200,2500,20.89,1
20019,20072,1,345osm_대구_345-북경남_345_1,0.000554,0.00594,0.125185,0.0,0.0,0.0,0.0,2000,2200,2500,21.29,1
20019,20072,2,345osm_대구_345-북경남_345_2,0.000554,0.00594,0.125185,0.0,0.0,0.0,0.0,2000,2200,2500,21.29,1
20019,20072,3,345osm_대구_345-북경남_345_3,0.000554,0.00594,0.125185,0.0,0.0,0.0,0.0,2000,2200,2500,21.29,1
20019,20072,4,345osm_대구_345-북경남_345_4,0.000554,0.00594,0.125185,0.0,0.0,0.0,0.0,2000,2200,2500,21.29,1
20052,20108,1,345osm_곤지암_345-성남T4_345_1,0.000572,0.006135,0.129301,0.0,0.0,0.0,0.0,2000,2200,2500,21.99,1
20052,20108,2,345osm_곤지암_345-성남T4_345_2,0.000572,0.006135,0.129301,0.0,0.0,0.0,0.0,2000,2200,2500,21.99,1
20011,20012,1,345osm_신용인_345-신안성_345_1,0.00057,0.006113,0.128831,0.0,0.0,0.0,0.0,2000,2200,2500,21.91,1
20011,20012,2,345osm_신용인_345-신안성_345_2,0.00057,0.006113,0.128831,0.0,0.0,0.0,0.0,2000,2200,2500,21.91,1
20011,20012,3,345osm_신용인_345-신안성_345_3,0.00057,0.006113,0.128831,0.0,0.0,0.0,0.0,2000,2200,2500,21.91,1
20011,20012,4,345osm_신용인_345-신안성_345_4,0.00057,0.006113,0.128831,0.0,0.0,0.0,0.0,2000,2200,2500,21.91,1
20001,20039,1,345osm_북부산_345-서창_345_1,0.000592,0.006347,0.13377,0.0,0.0,0.0,0.0,2000,2200,2500,22.75,1
20001,20039,2,345osm_북부산_345-서창_345_2,0.000592,0.006347,0.13377,0.0,0.0,0.0,0.0,2000,2200,2500,22.75,1
20060,20096,1,345osm_동울산_345-울산T7_345_1,0.000606,0.006503,0.137063,0.0,0.0,0.0,0.0,2000,2200,2500,23.31,1
20060,20096,2,345osm_동울산_345-울산T7_345_2,0.000606,0.006503,0.137063,0.0,0.0,0.0,0.0,2000,2200,2500,23.31,1
20060,20096,3,345osm_동울산_345-울산T7_345_3,0.000606,0.006503,0.137063,0.0,0.0,0.0,0.0,2000,2200,2500,23.31,1
20060,20096,4,345osm_동울산_345-울산T7_345_4,0.000606,0.006503,0.137063,0.0,0.0,0.0,0.0,2000,2200,2500,23.31,1
20003,20078,1,345osm_신포항_345-신영일_345_1,0.000608,0.00652,0.137416,0.0,0.0,0.0,0.0,2000,2200,2500,23.37,1
20003,20078,2,345osm_신포항_345-신영일_345_2,0.000608,0.00652,0.137416,0.0,0.0,0.0,0.0,2000,2200,2500,23.37,1
20010,20014,1,345osm_신옥천_345-신계룡_345_1,0.000627,0.006732,0.141884,0.0,0.0,0.0,0.0,2000,2200,2500,24.13,1
20010,20014,2,345osm_신옥천_345-신계룡_345_2,0.000627,0.006732,0.141884,0.0,0.0,0.0,0.0,2000,2200,2500,24.13,1
20003,20096,1,345osm_신포항_345-울산T7_345_1,0.000636,0.006827,0.143884,0.0,0.0,0.0,0.0,2000,2200,2500,24.47,1
20003,20096,2,345osm_신포항_345-울산T7_345_2,0.000636,0.006827,0.143884,0.0,0.0,0.0,0.0,2000,2200,2500,24.47,1
20019,20021,1,345osm_대구_345-고령_345_1,0.000644,0.006911,0.145648,0.0,0.0,0.0,0.0,2000,2200,2500,24.77,1
20019,20021,2,345osm_대구_345-고령_345_2,0.000644,0.006911,0.145648,0.0,0.0,0.0,0.0,2000,2200,2500,24.77,1
20025,20071,1,345osm_청원_345-신중부_345_1,0.000661,0.007089,0.149411,0.0,0.0,0.0,0.0,2000,2200,2500,25.41,1
20025,20071,2,345osm_청원_345-신중부_345_2,0.000661,0.007089,0.149411,0.0,0.0,0.0,0.0,2000,2200,2500,25.41,1
20025,20071,3,345osm_청원_345-신중부_345_3,0.000661,0.007089,0.149411,0.0,0.0,0.0,0.0,2000,2200,2500,25.41,1
20025,20071,4,345osm_청원_345-신중부_345_4,0.000661,0.007089,0.149411,0.0,0.0,0.0,0.0,2000,2200,2500,25.41,1
20011,20064,1,345osm_신용인_345-서안성_345_1,0.000676,0.007254,0.15288,0.0,0.0,0.0,0.0,2000,2200,2500,26.0,1
20011,20064,2,345osm_신용인_345-서안성_345_2,0.000676,0.007254,0.15288,0.0,0.0,0.0,0.0,2000,2200,2500,26.0,1
20011,20064,3,345osm_신용인_345-서안성_345_3,0.000676,0.007254,0.15288,0.0,0.0,0.0,0.0,2000,2200,2500,26.0,1
20011,20064,4,345osm_신용인_345-서안성_345_4,0.000676,0.007254,0.15288,0.0,0.0,0.0,0.0,2000,2200,2500,26.0,1
20044,20067,1,345osm_양주_345-신의정부_345_1,0.000719,0.007717,0.162641,0.0,0.0,0.0,0.0,2000,2200,2500,27.66,1
