from_bus,to_bus,id,name,r_pu,x_pu,b_pu,g_from_pu,b_from_pu,g_to_pu,b_to_pu,rate_a_mva,rate_b_mva,rate_c_mva,length_km,in_service,cable_km
20008,20056,1,345osm_신용인_345-서안성_345_1,0.000676,0.007254,0.15288,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,26.0,1,0.0
20008,20056,2,345osm_신용인_345-서안성_345_2,0.000676,0.007254,0.15288,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,26.0,1,0.0
20008,20056,3,345osm_신용인_345-서안성_345_3,0.000676,0.007254,0.15288,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,26.0,1,0.0
20008,20056,4,345osm_신용인_345-서안성_345_4,0.000676,0.007254,0.15288,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,26.0,1,0.0
20037,20058,1,345osm_양주_345-신의정부_345_1,0.000719,0.007717,0.162641,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,27.66,1,0.0
20037,20058,2,345osm_양주_345-신의정부_345_2,0.000719,0.007717,0.162641,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,27.66,1,0.0
20014,20064,1,345osm_군산_345-새만금_345_1,0.000737,0.007907,0.166639,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,28.34,1,0.0
20014,20064,2,345osm_군산_345-새만금_345_2,0.000737,0.007907,0.166639,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,28.34,1,0.0
20078,20081,1,345osm_신시화_345-영흥T1_345_1,0.000744,0.007985,0.168286,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,28.62,1,0.0
20078,20081,2,345osm_신시화_345-영흥T1_345_2,0.000744,0.007985,0.168286,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,28.62,1,0.0
20004,90006,1,345osm_울주_345-월성_SW_1,0.000745,0.007999,0.16858,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,28.67,1,0.0
20004,90006,2,345osm_울주_345-월성_SW_2,0.000745,0.007999,0.16858,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,28.67,1,0.0
20004,90006,3,345osm_울주_345-월성_SW_3,0.000745,0.007999,0.16858,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,28.67,1,0.0
20004,90006,4,345osm_울주_345-월성_SW_4,0.000745,0.007999,0.16858,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,28.67,1,0.0
