Time_Index,Demand_MW,Demand_MW_25,Demand_MW_30,Demand_MW_35,Demand_heat,Demand_Zero,,,,,,,,,
279,80570.02195,82419.93294,88381.72345,94707.75788,8700,0,,,,,,,,,
280,81927.01699,83808.08498,89870.28653,96302.86672,8700,0,,,,,,,,,
281,83083.57954,84991.20253,91138.98411,97662.37291,8700,0,,,,,,,,,
282,81262.42507,83128.23384,89141.25881,95521.65793,8700,0,,,,,,,,,
283,78758.45755,80566.77449,86394.51804,92578.31566,8700,0,,,,,,,,,
284,75825.81386,77566.79646,83177.5386,89131.0768,8700,0,,,,,,,,,
285,72927.69442,74602.13536,79998.43074,85724.42028,8700,0,,,,,,,,,
286,69729.40577,71330.41308,76490.05061,81964.92337,8700,0,,,,,,,,,
287,68586.26931,70161.02988,75236.08086,80621.19914,8700,0,,,,,,,,,
288,70252.06463,71865.07234,77063.3841,82579.29393,8700,0,,,,,,,,,
289,67503.5503,69053.45132,74048.38636,79348.4939,8700,0,,,,,,,,,
290,65442.64406,66945.22607,71787.66406,76925.95751,8700,0,,,,,,,,,
291,64119.21427,65591.40997,70335.92056,75370.30363,8700,0,,,,,,,,,
292,63355.84462,64810.51312,69498.53807,74472.98442,8700,0,,,,,,,,,
293,63464.21243,64921.36909,69617.41273,74600.36769,8700,0,,,,,,,,,
294,64495.14505,65975.97222,70748.29987,75812.19951,8700,0,,,,,,,,,
295,67248.45442,68792.49837,73768.55755,79048.63598,8700,0,,,,,,,,,
296,72157.61173,73814.37135,79153.68435,84819.21008,8700,0,,,,,,,,,
297,79569.77755,81396.72263,87284.49992,93531.99915,8700,0,,,,,,,,,
298,80781.96252,82636.73973,88614.2128,94956.88796,8700,0,,,,,,,,,
299,78982.86521,80796.33462,86640.68324,92842.10044,8700,0,,,,,,,,,
300,75758.68336,77498.12463,83103.89944,89052.16685,8700,0,,,,,,,,,
301,70766.09244,72390.90238,77627.24969,83183.51893,8700,0,,,,,,,,,
302,72271.73357,73931.11346,79278.87091,84953.35703,8700,0,,,,,,,,,
303,72912.35031,74586.43895,79981.59893,85706.38371,8700,0,,,,,,,,,
304,74064.11783,75764.65138,81245.03656,87060.25349,8700,0,,,,,,,,,
305,76399.3001,78153.45011,83806.62745,89805.19351,8700,0,,,,,,,,,
306,75326.17116,77055.68182,82629.45283,88543.76112,8700,0,,,,,,,,,
307,73552.00804,75240.7834,80683.27496,86458.28309,8700,0,,,,,,,,,
308,71122.84307,72755.8441,78018.58923,83602.8691,8700,0,,,,,,,,,
309,68936.3069,70519.10443,75620.05651,81032.65833,8700,0,,,,,,,,,
310,66416.03626,67940.96765,72855.43192,78070.15223,8700,0,,,,,,,,,
311,65454.15214,66956.99839,71800.28791,76939.48494,8700,0,,,,,,,,,
312,67048.02193,68587.46388,73548.69204,78813.03332,8700,0,,,,,,,,,
313,64009.88746,65479.57297,70215.99392,75241.79309,8700,0,,,,,,,,,
314,62119.68448,63545.97039,68142.52549,73019.91351,8700,0,,,,,,,,,
315,60959.2859,62358.92872,66869.61996,71655.89816,8700,0,,,,,,,,,
316,60733.91923,62128.38757,66622.40277,71390.98607,8700,0,,,,,,,,,
317,61269.04519,62675.80017,67209.41209,72020.01134,8700,0,,,,,,,,,
318,62644.26136,64082.59171,68717.96295,73636.53864,8700,0,,,,,,,,,
319,65714.04307,67222.85649,72085.37668,77244.9793,8700,0,,,,,,,,,
320,70814.04279,72439.95368,77679.84909,83239.88319,8700,0,,,,,,,,,
321,77446.53585,79224.7307,84955.3984,91036.18921,8700,0,,,,,,,,,
322,77201.03003,78973.58799,84686.08945,90747.60415,8700,0,,,,,,,,,
323,75460.43216,77193.02549,82776.73116,88701.58111,8700,0,,,,,,,,,
324,72607.38605,74274.47262,79647.06673,85347.90694,8700,0,,,,,,,,,
325,68049.22534,69611.65522,74646.96756,79989.91931,8700,0,,,,,,,,,
326,69663.23428,71262.72227,76417.46345,81887.14069,8700,0,,,,,,,,,
327,70506.20151,72125.04427,77342.16092,82878.02457,8700,0,,,,,,,,,
328,71612.8957,73257.14849,78556.15513,84178.91196,8700,0,,,,,,,,,
329,73996.02833,75694.99853,81170.34542,86980.21624,8700,0,,,,,,,,,
330,74041.10166,75741.10676,81219.78885,87033.19865,8700,0,,,,,,,,,
331,73217.31457,74898.40528,80316.13113,86064.86047,8700,0,,,,,,,,,
332,71046.12251,72677.36201,77934.4302,83512.68627,8700,0,,,,,,,,,
333,68770.39867,70349.3869,75438.06256,80837.63795,8700,0,,,,,,,,,
334,66126.41612,67644.69775,72537.73153,77729.71203,8700,0,,,,,,,,,
335,65107.95058,66602.84794,71420.52023,76532.5349,8700,0,,,,,,,,,
336,66276.98023,67798.71885,72702.89365,77906.69583,8700,0,,,,,,,,,
337,63437.36023,64893.90036,69587.95707,74568.8037,8700,0,,,,,,,,,
