Time_Index,natgas_fossil_SE,natgas_fossil_MIDAT,natgas_fossil_NE,uranium_source
1927,14.05803,13.68269,16.82186,2.79796
1928,14.05803,13.68269,16.82186,2.79796
1929,14.05803,13.68269,16.82186,2.79796
1930,14.05803,13.68269,16.82186,2.79796
1931,14.05803,13.68269,16.82186,2.79796
1932,14.05803,13.68269,16.82186,2.79796
1933,14.05803,13.68269,16.82186,2.79796
1934,14.05803,13.68269,16.82186,2.79796
1935,14.05803,13.68269,16.82186,2.79796
1936,14.05803,13.68269,16.82186,2.79796
1937,14.05803,13.68269,16.82186,2.79796
1938,14.05803,13.68269,16.82186,2.79796
1939,14.05803,13.68269,16.82186,2.79796
1940,14.05803,13.68269,16.82186,2.79796
1941,14.05803,13.68269,16.82186,2.79796
1942,14.05803,13.68269,16.82186,2.79796
1943,14.05803,13.68269,16.82186,2.79796
1944,14.05803,13.68269,16.82186,2.79796
1945,14.05803,13.68269,16.82186,2.79796
1946,14.05803,13.68269,16.82186,2.79796
1947,14.05803,13.68269,16.82186,2.79796
1948,14.05803,13.68269,16.82186,2.79796
1949,14.05803,13.68269,16.82186,2.79796
1950,14.05803,13.68269,16.82186,2.79796
1951,14.05803,13.68269,16.82186,2.79796
1952,14.05803,13.68269,16.82186,2.79796
1953,14.05803,13.68269,16.82186,2.79796
1954,14.05803,13.68269,16.82186,2.79796
1955,14.05803,13.68269,16.82186,2.79796
1956,14.05803,13.68269,16.82186,2.79796
1957,14.05803,13.68269,16.82186,2.79796
1958,14.05803,13.68269,16.82186,2.79796
1959,14.05803,13.68269,16.82186,2.79796
1960,14.05803,13.68269,16.82186,2.79796
1961,14.05803,13.68269,16.82186,2.79796
1962,14.05803,13.68269,16.82186,2.79796
1963,14.05803,13.68269,16.82186,2.79796
1964,14.05803,13.68269,16.82186,2.79796
1965,14.05803,13.68269,16.82186,2.79796
1966,14.05803,13.68269,16.82186,2.79796
1967,14.05803,13.68269,16.82186,2.79796
1968,14.05803,13.68269,16.82186,2.79796
1969,14.05803,13.68269,16.82186,2.79796
1970,14.05803,13.68269,16.82186,2.79796
1971,14.05803,13.68269,16.82186,2.79796
1972,14.05803,13.68269,16.82186,2.79796
1973,14.05803,13.68269,16.82186,2.79796
1974,14.05803,13.68269,16.82186,2.79796
1975,14.05803,13.68269,16.82186,2.79796
1976,14.05803,13.68269,16.82186,2.79796
1977,14.05803,13.68269,16.82186,2.79796
1978,14.05803,13.68269,16.82186,2.79796
1979,14.05803,13.68269,16.82186,2.79796
1980,14.05803,13.68269,16.82186,2.79796
1981,14.05803,13.68269,16.82186,2.79796
1982,14.05803,13.68269,16.82186,2.79796
1983,14.05803,13.68269,16.82186,2.79796
1984,14.05803,13.68269,16.82186,2.79796
1985,14.05803,13.68269,16.82186,2.79796
1986,14.05803,13.68269,16.82186,2.79796
1987,14.05803,13.68269,16.82186,2.79796
1988,14.05803,13.68269,16.82186,2.79796
1989,14.05803,13.68269,16.82186,2.79796
1990,14.05803,13.68269,16.82186,2.79796
1991,14.05803,13.68269,16.82186,2.79796
1992,14.05803,13.68269,16.82186,2.79796
1993,14.05803,13.68269,16.82186,2.79796
1994,14.05803,13.68269,16.82186,2.79796
1995,14.05803,13.68269,16.82186,2.79796
1996,14.05803,13.68269,16.82186,2.79796
1997,14.05803,13.68269,16.82186,2.79796
1998,14.05803,13.68269,16.82186,2.79796
1999,14.05803,13.68269,16.82186,2.79796
2000,14.05803,13.68269,16.82186,2.79796
2001,14.05803,13.68269,16.82186,2.79796
2002,14.05803,13.68269,16.82186,2.79796
2003,14.05803,13.68269,16.82186,2.79796
2004,14.05803,13.68269,16.82186,2.79796
2005,14.05803,13.68269,16.82186,2.79796
2006,14.05803,13.68269,16.82186,2.79796
2007,14.05803,13.68269,16.82186,2.79796
2008,14.05803,13.68269,16.82186,2.79796
2009,14.05803,13.68269,16.82186,2.79796
2010,14.05803,13.68269,16.82186,2.79796
2011,14.05803,13.68269,16.82186,2.79796
2012,14.05803,13.68269,16.82186,2.79796
2013,14.05803,13.68269,16.82186,2.79796
2014,14.05803,13.68269,16.82186,2.79796
2015,14.05803,13.68269,16.82186,2.79796
2016,14.05803,13.68269,16.82186,2.79796
2017,14.05803,13.68269,16.82186,2.79796
2018,14.05803,13.68269,16.82186,2.79796
2019,14.05803,13.68269,16.82186,2.79796
2020,14.05803,13.68269,16.82186,2.79796
2021,14.05803,13.68269,16.82186,2.79796
2022,14.05803,13.68269,16.82186,2.79796
