Time_Index,elec_BR_AC,elec_BR_AL,elec_BR_AP,elec_BR_AM,elec_BR_BA,elec_BR_CE,elec_BR_DF,elec_BR_ES,elec_BR_GO,elec_BR_MA,elec_BR_MT,elec_BR_MS,elec_BR_MG,elec_BR_PA,elec_BR_PB,elec_BR_PR,elec_BR_PE,elec_BR_PI,elec_BR_RJ,elec_BR_RN,elec_BR_RS,elec_BR_RO,elec_BR_RR,elec_BR_SC,elec_BR_SP,elec_BR_SE,elec_BR_TO
76,0,1009.396,944.662,234.633,6772.849,1468.35,19,587.282,1652.935,1867.996,4882.788,422.335,2013.97,10909.305,516.291,665.312,1287.023,9243.195,4344.097,4967.666,5310.109,209.033,1600.839,1929.899,26,6150.626,1379.734
77,0,1019.297,947.853,234.806,6260.965,1443.444,19,588.619,1658.754,1520.652,4748.005,421.58,2015.666,10972.841,611.589,700.615,971.482,9302.918,4344.674,5092.944,5282.461,200.121,1536.744,2017.827,25.204,6111.099,1384.342
78,0,1063.202,946.081,234.954,5699.158,1268.306,19.466,631.355,1672.346,1155.801,4848.992,431.559,2015.351,10972.142,498.958,765.451,748.997,9378.365,4410.832,4898.626,5222.225,192.953,1560.287,2034.273,30.807,5882.177,1386.569
79,0,1188.575,943.12,235.67,5297.221,1521.382,23.971,752.109,1763.585,1082.579,5394.354,530.601,2061.607,9733.909,569.397,1070.073,997.318,8661.857,4614.769,5220.388,5206.82,181.494,1867.712,2050.47,50.419,5680.418,1159.272
80,3.477,1342.493,944.439,241.794,5363.48,2158.912,47.875,889.057,1897.84,1163.817,6557.879,746.676,2286.904,6509.999,778.588,1517.903,1833.936,7872.007,4790.474,5926.124,5193.938,163.145,2357.87,1932.258,72.91,6266.95,947.071
81,16.39,1465.3,825.867,240.699,5306.289,2776.417,142.033,987.458,1951.354,1238.685,7709.675,968.767,2337.144,4206.481,751.4,1619.932,2214.767,8045.655,4970.839,5439.806,5186.586,155.939,3142.764,1900.257,93.636,6855.676,908.307
82,37.911,1569.801,856.659,239.499,5034.026,2898.644,264.304,1050.501,1974.98,1287.644,9004.464,1173.749,2469.237,4122.789,808.276,1549.935,2089.518,8474.236,5101.108,4856.862,4181.71,163.448,3723.853,2125.822,109.107,7647.259,784.24
83,56.615,1636.707,867.96,236.648,4762.581,3055.175,299.16,1054.383,2105.081,1333.014,9818.337,1301.395,2736.849,4428.253,877.682,1497.595,2200.078,8684.023,5099.381,4750.445,3208.4,161.195,4012.682,2217.606,120.475,7958.163,771.499
84,69.236,1659.088,950.528,259.093,4598.455,3171.985,337.41,1043.799,2123.53,1403.651,10507.109,1251.756,2930.473,4077.374,890.269,1434.616,2190.869,8796.328,5063.74,4893.155,2917.541,143.447,4305.81,2314.353,124.903,7750.224,784.082
85,77.243,1628.873,987.471,274.876,4538.033,3112.976,314.81,942.304,2056.206,1377.525,10575.105,1202.541,3046.987,3932.14,856.157,1354.048,2012.033,8969.318,4967.16,4943.665,3020.491,151.651,4365.43,2310.593,124.527,7637.747,744.718
