Time_Index,Demand_fossil_Jetfuel,Demand_SAF_Jetfuel,Demand_Jetfuel,Demand_Flexfuel,Demand_BioDiesel,Demand_Diesel,Demand_Ethanol,Demand_Gasoline,elec_demand_S,elec_demand_NE,elec_demand_N
254,2248,439,1799,62359,8966,80695,3245,8775,12416.81298,19356.4052,9801.602881
255,2248,439,1799,62359,8966,80695,3245,8775,12413.68656,19643.82139,10187.25699
256,2248,439,1799,62359,8966,80695,3245,8775,12578.17351,19696.27186,11330.40709
257,2248,439,1799,62359,8966,80695,3245,8775,13606.62721,18158.73393,12942.18352
258,2248,439,1799,62359,8966,80695,3245,8775,13333.89959,16881.17974,15450.25269
259,2248,439,1799,62359,8966,80695,3245,8775,13018.1034,18420.71447,16320.82133
260,2248,439,1799,62359,8966,80695,3245,8775,13472.15406,19490.84846,17113.64593
261,2248,439,1799,62359,8966,80695,3245,8775,13286.60739,21366.62724,15520.89342
262,2248,439,1799,62359,8966,80695,3245,8775,13031.57228,21671.98884,15138.4014
263,2248,439,1799,62359,8966,80695,3245,8775,12329.44765,21432.84501,14801.70787
264,2248,439,1799,62359,8966,80695,3245,8775,11264.70011,20876.40145,14957.7154
265,2248,439,1799,62359,8966,80695,3245,8775,11674.86912,19877.18411,15441.01546
266,2248,439,1799,62359,8966,80695,3245,8775,10422.43186,20177.54627,15542.14814
267,2248,439,1799,62359,8966,80695,3245,8775,9448.091438,19517.56372,15415.42316
268,2248,439,1799,62359,8966,80695,3245,8775,9330.9239,18969.39304,15536.96456
269,2248,439,1799,62359,8966,80695,3245,8775,8681.553374,18728.70375,15272.3053
270,2248,439,1799,62359,8966,80695,3245,8775,8896.859934,17691.32006,14494.27945
271,2248,439,1799,62359,8966,80695,3245,8775,8444.402206,17771.56602,11804.72285
272,2248,439,1799,62359,8966,80695,3245,8775,7394.544188,18824.27042,9624.613906
273,2248,439,1799,62359,8966,80695,3245,8775,7915.265181,18951.69661,8802.758728
274,2248,439,1799,62359,8966,80695,3245,8775,8659.393405,17249.60272,9161.13628
