Time_Index,Amazonas_hydro_res,Doce_hydro_res,Grande_hydro_res,Iguacu_hydro_res,Jacui_capivari_hydro_res,Jequitinhonha_hydro_res,Paraiba_do_sul_hydro_res,Parana_hydro_res,Paranaiba_hydro_res,Paranapanema_hydro_res,Parnaiba_hydro_res,Sao_francisco_hydro_res,Tiete_hydro_res,Tocantins_hydro_res,Uruguai_hydro_res
78,0.042883363,0.198135179,0.595227588,0.77621327,0.691039474,0.059232682,0.746469903,1.070627178,0.303976775,0.956844701,0.19384745,0.402892931,1.151197763,0.338299406,0.25156378
79,0.042883363,0.198135179,0.595227588,0.77621327,0.691039474,0.059232682,0.746469903,1.070627178,0.303976775,0.956844701,0.19384745,0.402892931,1.151197763,0.338299406,0.25156378
80,0.042883363,0.198135179,0.595227588,0.77621327,0.691039474,0.059232682,0.746469903,1.070627178,0.303976775,0.956844701,0.19384745,0.402892931,1.151197763,0.338299406,0.25156378
81,0.042883363,0.198135179,0.595227588,0.77621327,0.691039474,0.059232682,0.746469903,1.070627178,0.303976775,0.956844701,0.19384745,0.402892931,1.151197763,0.338299406,0.25156378
82,0.042883363,0.198135179,0.595227588,0.77621327,0.691039474,0.059232682,0.746469903,1.070627178,0.303976775,0.956844701,0.19384745,0.402892931,1.151197763,0.338299406,0.25156378
83,0.042883363,0.198135179,0.595227588,0.77621327,0.691039474,0.059232682,0.746469903,1.070627178,0.303976775,0.956844701,0.19384745,0.402892931,1.151197763,0.338299406,0.25156378
84,0.042883363,0.198135179,0.595227588,0.77621327,0.691039474,0.059232682,0.746469903,1.070627178,0.303976775,0.956844701,0.19384745,0.402892931,1.151197763,0.338299406,0.25156378
85,0.042883363,0.198135179,0.595227588,0.77621327,0.691039474,0.059232682,0.746469903,1.070627178,0.303976775,0.956844701,0.19384745,0.402892931,1.151197763,0.338299406,0.25156378
86,0.042883363,0.198135179,0.595227588,0.77621327,0.691039474,0.059232682,0.746469903,1.070627178,0.303976775,0.956844701,0.19384745,0.402892931,1.151197763,0.338299406,0.25156378
87,0.042883363,0.198135179,0.595227588,0.77621327,0.691039474,0.059232682,0.746469903,1.070627178,0.303976775,0.956844701,0.19384745,0.402892931,1.151197763,0.338299406,0.25156378
88,0.042883363,0.198135179,0.595227588,0.77621327,0.691039474,0.059232682,0.746469903,1.070627178,0.303976775,0.956844701,0.19384745,0.402892931,1.151197763,0.338299406,0.25156378
89,0.042883363,0.198135179,0.595227588,0.77621327,0.691039474,0.059232682,0.746469903,1.070627178,0.303976775,0.956844701,0.19384745,0.402892931,1.151197763,0.338299406,0.25156378
90,0.042883363,0.198135179,0.595227588,0.77621327,0.691039474,0.059232682,0.746469903,1.070627178,0.303976775,0.956844701,0.19384745,0.402892931,1.151197763,0.338299406,0.25156378
91,0.042883363,0.198135179,0.595227588,0.77621327,0.691039474,0.059232682,0.746469903,1.070627178,0.303976775,0.956844701,0.19384745,0.402892931,1.151197763,0.338299406,0.25156378
92,0.042883363,0.198135179,0.595227588,0.77621327,0.691039474,0.059232682,0.746469903,1.070627178,0.303976775,0.956844701,0.19384745,0.402892931,1.151197763,0.338299406,0.25156378
93,0.042883363,0.198135179,0.595227588,0.77621327,0.691039474,0.059232682,0.746469903,1.070627178,0.303976775,0.956844701,0.19384745,0.402892931,1.151197763,0.338299406,0.25156378
94,0.042883363,0.198135179,0.595227588,0.77621327,0.691039474,0.059232682,0.746469903,1.070627178,0.303976775,0.956844701,0.19384745,0.402892931,1.151197763,0.338299406,0.25156378
95,0.042883363,0.198135179,0.595227588,0.77621327,0.691039474,0.059232682,0.746469903,1.070627178,0.303976775,0.956844701,0.19384745,0.402892931,1.151197763,0.338299406,0.25156378
96,0.042883363,0.198135179,0.595227588,0.77621327,0.691039474,0.059232682,0.746469903,1.070627178,0.303976775,0.956844701,0.19384745,0.402892931,1.151197763,0.338299406,0.25156378
97,0.04429569,0.223193482,0.588862298,0.72284597,0.589772727,0.04413416,0.720321528,1.067896051,0.290322908,0.926190752,0.210703751,0.39768256,1.163315625,0.3386073,0.211447766
98,0.04429569,0.223193482,0.588862298,0.72284597,0.589772727,0.04413416,0.720321528,1.067896051,0.290322908,0.926190752,0.210703751,0.39768256,1.163315625,0.3386073,0.211447766
99,0.04429569,0.223193482,0.588862298,0.72284597,0.589772727,0.04413416,0.720321528,1.067896051,0.290322908,0.926190752,0.210703751,0.39768256,1.163315625,0.3386073,0.211447766
100,0.04429569,0.223193482,0.588862298,0.72284597,0.589772727,0.04413416,0.720321528,1.067896051,0.290322908,0.926190752,0.210703751,0.39768256,1.163315625,0.3386073,0.211447766
101,0.04429569,0.223193482,0.588862298,0.72284597,0.589772727,0.04413416,0.720321528,1.067896051,0.290322908,0.926190752,0.210703751,0.39768256,1.163315625,0.3386073,0.211447766
