Time_Index,Demand_MW,Demand_heat,Demand_H2_z2,Demand_H2_z3,Demand_NG_z1,Demand_NG_z2,Demand_NG_z3,Demand_Gasoline_z1,Demand_Gasoline_z2,Demand_Gasoline_z3,Demand_JetFuel_z1,Demand_JetFuel_z2,Demand_JetFuel_z3,Demand_Diesel_z1,Demand_Diesel_z2,Demand_Diesel_z3,Demand_Zero
247,65816.65683,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
248,71938.95811,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
249,81418.74323,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
250,85388.07359,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
251,86851.51841,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
252,86793.01898,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
253,83759.67954,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
254,85642.21047,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
255,86078.5587,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
256,85812.91373,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
257,86141.85317,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
258,83752.9665,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
259,80663.04564,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
260,77284.46365,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
261,74131.24833,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
262,70671.15073,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
263,69606.65286,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
264,71402.87315,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
265,68672.57995,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
266,66814.0242,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
267,65660.33867,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
268,65150.1469,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
269,65309.34207,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
270,66460.15059,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
271,69640.21811,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
272,74733.50478,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
273,82589.69089,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
274,84477.97586,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
275,83117.14479,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
276,80324.51614,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
277,76296.68634,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
