Time_Index,Demand_MW,Demand_MW_25,Demand_MW_30,Demand_MW_35,Demand_heat,Demand_Zero,,,,,,
184,84770.47302,89875.26024,94413.67293,97884.47653,8700,0,,,,,,
185,86069.92763,91252.96662,95860.94907,99384.95694,8700,0,,,,,,
186,84363.85401,89444.15507,93960.79833,97414.9535,8700,0,,,,,,
187,81007.32919,85885.50392,90222.4467,93539.17385,8700,0,,,,,,
188,77766.84422,82449.88041,86613.33521,89797.38542,8700,0,,,,,,
189,75046.14109,79565.33944,83583.13417,86655.78915,8700,0,,,,,,
190,71786.47598,76109.38079,79952.66067,82891.85341,8700,0,,,,,,
191,70853.36208,75120.07577,78913.39892,81814.38667,8700,0,,,,,,
192,72295.70875,76649.27901,80519.82202,83479.86456,8700,0,,,,,,
193,69533.76832,73721.01748,77443.69267,80290.65157,8700,0,,,,,,
194,67483.41115,71547.19,75160.09386,77923.10388,8700,0,,,,,,
195,66226.15285,70214.22095,73759.81414,76471.34755,8700,0,,,,,,
196,65419.62789,69359.12792,72861.54166,75540.05307,8700,0,,,,,,
197,65099.31952,69019.53092,72504.7961,75170.19295,8700,0,,,,,,
198,65270.98179,69201.53051,72695.98608,75368.4114,8700,0,,,,,,
199,66323.97158,70317.93022,73868.7604,76584.29885,8700,0,,,,,,
200,67703.98279,71781.04422,75405.75698,78177.79798,8700,0,,,,,,
201,70306.72804,74540.52401,78304.58165,81183.18827,8700,0,,,,,,
202,70147.53286,74371.74227,78127.27697,80999.36557,8700,0,,,,,,
203,70717.18307,74975.6962,78761.72865,81657.14074,8700,0,,,,,,
204,69928.87924,74139.92156,77883.75006,80746.88621,8700,0,,,,,,
205,67563.00874,71631.58087,75248.7462,78015.01522,8700,0,,,,,,
206,67631.09825,71703.77066,75324.58134,78093.63819,8700,0,,,,,,
207,67755.76917,71835.94912,75463.4344,78237.59572,8700,0,,,,,,
208,68404.05796,72523.27717,76185.47031,78986.17487,8700,0,,,,,,
209,70097.66449,74318.87088,78071.73575,80941.78256,8700,0,,,,,,
210,70970.36095,75244.12018,79043.70718,81949.48528,8700,0,,,,,,
211,71189.01456,75475.94088,79287.23408,82201.96463,8700,0,,,,,,
212,69811.88038,74015.87715,77753.44181,80611.78761,8700,0,,,,,,
213,68302.40321,72415.50088,76072.25166,78868.79412,8700,0,,,,,,
214,66194.50562,70180.66795,73724.56683,76434.80449,8700,0,,,,,,
215,66488.9208,70492.8125,74052.47368,76774.76574,8700,0,,,,,,
216,68337.88647,72453.12091,76111.77138,78909.76664,8700,0,,,,,,
217,66186.83356,70172.53389,73716.02203,76425.94556,8700,0,,,,,,
218,64058.79682,67916.34905,71345.90708,73968.70125,8700,0,,,,,,
219,62575.21285,66343.42524,69693.55566,72255.60664,8700,0,,,,,,
220,61680.45923,65394.79052,68697.01792,71222.43452,8700,0,,,,,,
221,61470.43668,65172.12063,68463.10392,70979.92145,8700,0,,,,,,
222,61816.63824,65539.17008,68848.68819,71379.68044,8700,0,,,,,,
223,62222.29824,65969.25849,69300.49469,71848.0961,8700,0,,,,,,
224,62328.74803,66082.11858,69419.05384,71971.01368,8700,0,,,,,,
225,62469.72207,66231.58192,69576.06461,72133.79643,8700,0,,,,,,
226,61051.35058,64727.79762,67996.34402,70496.00268,8700,0,,,,,,
227,61071.48973,64749.14953,68018.77413,70519.25736,8700,0,,,,,,
228,60506.63455,64150.27937,67389.66295,69867.019,8700,0,,,,,,
229,59543.79143,63129.45487,66317.29008,68755.22392,8700,0,,,,,,
230,59644.48717,63236.2144,66429.44062,68871.49731,8700,0,,,,,,
231,60204.54731,63830.00076,67053.21129,69518.19883,8700,0,,,,,,
232,61897.19483,65624.5777,68938.40862,71472.69914,8700,0,,,,,,
233,64074.14094,67932.61718,71362.9967,73986.41911,8700,0,,,,,,
234,66592.49356,70602.6223,74167.82852,76894.36122,8700,0,,,,,,
235,67838.24378,71923.39027,75555.29104,78332.82916,8700,0,,,,,,
236,67047.06293,71084.56535,74674.10816,77419.25253,8700,0,,,,,,
