pair_index,dataset,volt_class,capacity_mva,region_1,region_2,province_pair_english
30,newest,345kV,4346.0,전북특별자치도,충청남도,Jeonbuk–Chungnam
30,newest,765kV,0.0,전북특별자치도,충청남도,Jeonbuk–Chungnam
30,newest,HVDC,0.0,전북특별자치도,충청남도,Jeonbuk–Chungnam
31,new,154kV,2712.0,충청남도,충청북도,Chungnam–Chungbuk
31,new,345kV,0.0,충청남도,충청북도,Chungnam–Chungbuk
31,new,765kV,14580.0,충청남도,충청북도,Chungnam–Chungbuk
31,new,HVDC,0.0,충청남도,충청북도,Chungnam–Chungbuk
31,newest,154kV,2712.0,충청남도,충청북도,Chungnam–Chungbuk
31,newest,345kV,0.0,충청남도,충청북도,Chungnam–Chungbuk
31,newest,765kV,14580.0,충청남도,충청북도,Chungnam–Chungbuk
31,newest,HVDC,0.0,충청남도,충청북도,Chungnam–Chungbuk
