pair_index,dataset,volt_class,capacity_mva,region_1,region_2,province_pair_english
27,new,765kV,0.0,세종특별자치시,충청북도,Sejong–Chungbuk
27,new,HVDC,0.0,세종특별자치시,충청북도,Sejong–Chungbuk
28,old,154kV,1800.0,전라남도,전북특별자치도,Jeonnam–Jeonbuk
28,old,345kV,8000.0,전라남도,전북특별자치도,Jeonnam–Jeonbuk
28,old,765kV,0.0,전라남도,전북특별자치도,Jeonnam–Jeonbuk
28,old,HVDC,0.0,전라남도,전북특별자치도,Jeonnam–Jeonbuk
28,new,154kV,1808.0,전라남도,전북특별자치도,Jeonnam–Jeonbuk
28,new,345kV,17384.0,전라남도,전북특별자치도,Jeonnam–Jeonbuk
28,new,765kV,0.0,전라남도,전북특별자치도,Jeonnam–Jeonbuk
28,new,HVDC,0.0,전라남도,전북특별자치도,Jeonnam–Jeonbuk
29,old,154kV,0.0,전라남도,제주특별자치도,Jeonnam–Jeju
29,old,345kV,0.0,전라남도,제주특별자치도,Jeonnam–Jeju
29,old,765kV,0.0,전라남도,제주특별자치도,Jeonnam–Jeju
29,old,HVDC,900.0,전라남도,제주특별자치도,Jeonnam–Jeju
29,new,154kV,0.0,전라남도,제주특별자치도,Jeonnam–Jeju
29,new,345kV,0.0,전라남도,제주특별자치도,Jeonnam–Jeju
29,new,765kV,0.0,전라남도,제주특별자치도,Jeonnam–Jeju
29,new,HVDC,900.0,전라남도,제주특별자치도,Jeonnam–Jeju
30,old,154kV,900.0,전북특별자치도,충청남도,Jeonbuk–Chungnam
30,old,345kV,8000.0,전북특별자치도,충청남도,Jeonbuk–Chungnam
30,old,765kV,0.0,전북특별자치도,충청남도,Jeonbuk–Chungnam
30,old,HVDC,0.0,전북특별자치도,충청남도,Jeonbuk–Chungnam
30,new,154kV,1356.0,전북특별자치도,충청남도,Jeonbuk–Chungnam
30,new,345kV,4346.0,전북특별자치도,충청남도,Jeonbuk–Chungnam
30,new,765kV,0.0,전북특별자치도,충청남도,Jeonbuk–Chungnam
30,new,HVDC,0.0,전북특별자치도,충청남도,Jeonbuk–Chungnam
31,old,154kV,2700.0,충청남도,충청북도,Chungnam–Chungbuk
31,old,345kV,0.0,충청남도,충청북도,Chungnam–Chungbuk
31,old,765kV,14580.0,충청남도,충청북도,Chungnam–Chungbuk
31,old,HVDC,0.0,충청남도,충청북도,Chungnam–Chungbuk
31,new,154kV,2712.0,충청남도,충청북도,Chungnam–Chungbuk
31,new,345kV,0.0,충청남도,충청북도,Chungnam–Chungbuk
31,new,765kV,14580.0,충청남도,충청북도,Chungnam–Chungbuk
31,new,HVDC,0.0,충청남도,충청북도,Chungnam–Chungbuk
