Time_Index,elec_BR_AC,elec_BR_AL,elec_BR_AP,elec_BR_AM,elec_BR_BA,elec_BR_CE,elec_BR_DF,elec_BR_ES,elec_BR_GO,elec_BR_MA,elec_BR_MT,elec_BR_MS,elec_BR_MG,elec_BR_PA,elec_BR_PB,elec_BR_PR,elec_BR_PE,elec_BR_PI,elec_BR_RJ,elec_BR_RN,elec_BR_RS,elec_BR_RO,elec_BR_RR,elec_BR_SC,elec_BR_SP,elec_BR_SE,elec_BR_TO
92,2.785,1394.367,868.942,414.601,6023.478,1269.889,22.0,592.8,2473.447,1206.208,9667.138,468.741,2158.712,13191.794,481.117,1512.07,1084.815,12419.567,4296.785,4735.588,7075.276,176.774,1862.341,3903.954,22.0,8985.89,717.489
93,0.016,1574.645,884.453,447.084,6136.915,1192.276,22.0,592.199,2613.651,1112.746,9223.474,466.62,2156.011,11775.535,523.813,1497.722,1101.292,12506.856,4304.734,4969.574,7144.818,186.517,1915.31,4195.748,22.0,9289.67,714.645
94,0.0,1334.498,888.494,447.162,6937.735,1124.511,22.0,580.978,2554.606,1116.681,8499.04,467.187,2158.569,11156.336,516.055,1465.378,894.915,12552.426,4300.281,4802.493,7171.204,189.163,1913.427,3858.23,22.0,8796.167,716.533
95,0.0,1161.614,888.308,447.59,7208.298,1073.041,21.5,568.638,2224.048,1105.549,7883.113,467.681,2152.297,11012.697,607.548,1258.09,895.759,12545.85,4303.744,4739.192,7120.868,196.388,1820.215,3381.921,21.0,7872.125,717.125
96,0.0,997.703,889.727,447.894,7046.241,1080.325,21.0,568.479,2226.168,1062.797,7231.013,469.364,2149.306,11831.185,627.963,1064.51,914.707,12240.785,4300.754,4574.298,7101.442,203.419,1701.962,2543.549,21.0,6701.619,721.142
97,0.0,992.379,850.666,446.798,7369.011,1094.197,21.0,557.073,2036.395,945.226,6459.736,470.694,2132.027,11818.094,624.87,844.952,862.232,11306.215,4299.908,4455.43,7098.534,208.143,1286.539,2203.956,21.0,6173.957,719.677
98,0.0,992.345,849.626,446.861,6886.321,1035.701,21.0,572.813,2095.419,964.55,6218.944,472.073,2127.914,11827.401,638.504,788.389,740.212,9456.703,4284.617,4724.549,7098.928,204.876,1137.632,2020.124,20.5,6068.309,720.148
99,0.0,998.128,884.962,431.045,6385.092,852.898,21.0,580.625,2136.499,949.83,6126.979,473.212,2121.176,11863.755,573.709,756.951,1291.772,8022.687,4283.982,4646.814,7099.628,199.561,1040.791,1942.323,20.0,5730.327,722.687
100,0.0,989.304,865.901,428.155,5533.06,747.738,21.0,581.215,2140.851,982.568,5710.725,474.061,2126.01,11809.036,538.276,784.265,1954.344,7537.275,4282.4,4553.369,7093.718,194.293,936.859,1928.576,19.5,5652.631,664.027
101,0.0,990.058,846.493,428.775,5320.485,989.566,21.0,585.924,2218.997,1119.857,5526.334,473.002,2131.88,11989.183,568.998,735.549,1996.295,7127.435,4288.195,4355.634,6366.67,182.828,922.393,1926.296,19.0,5594.366,733.984
